Line Number	Position	Line	Error	Message
613	30	"a(CHEBI:""amyloid-beta"") -> bp(MESH:""Nitrosative Stress"")"	MissingNamespaceNameWarning	"""Nitrosative Stress"" is not in the MESH namespace"
614	3	"bp(MESH:""Nitrosative Stress"") pos p(INTERPRO:""Triosephosphate isomerase"", pmod(NO, Tyr, 164))"	MissingNamespaceNameWarning	"""Nitrosative Stress"" is not in the MESH namespace"
615	3	"bp(MESH:""Nitrosative Stress"") pos p(INTERPRO:""Triosephosphate isomerase"", pmod(NO, Tyr, 208))"	MissingNamespaceNameWarning	"""Nitrosative Stress"" is not in the MESH namespace"
857	29	"a(CHEBI:peroxynitrite) -> bp(MESH:""Nitrosative Stress"")"	MissingNamespaceNameWarning	"""Nitrosative Stress"" is not in the MESH namespace"
925	28	"a(CHEBI:peroxynitrite) -> a(HBP:""3-3' dityrosine cross-linking"")"	MissingNamespaceNameWarning	"""3-3' dityrosine cross-linking"" is not in the HBP namespace"
926	2	"a(HBP:""3-3' dityrosine cross-linking"") pos a(HBP:""paired helical filaments"")"	MissingNamespaceNameWarning	"""3-3' dityrosine cross-linking"" is not in the HBP namespace"
1493	19	"p(MGI:Ttbk1) -> bp(GO:""neuroinflammatory response"")"	MissingNamespaceNameWarning	"""neuroinflammatory response"" is not in the GO namespace"
1867	102	"act(p(MGI:Dapk1)) neg tloc(a(CHEBI:neurotransmitter), fromLoc(HBP:""entorhinal cortex layer 2""), toLoc(HBP:""CA1 interneuron""))"	MissingNamespaceNameWarning	"""CA1 interneuron"" is not in the HBP namespace"
1868	80	"tloc(a(CHEBI:neurotransmitter), fromLoc(HBP:""entorhinal cortex layer 2""), toLoc(HBP:""CA1 interneuron"")) pos bp(GO:memory)"	MissingNamespaceNameWarning	"""CA1 interneuron"" is not in the HBP namespace"
2483	53	"act(a(MESH:""Receptors, N-Methyl-D-Aspartate"")) pos a(HBP:""long-term depression"")"	MissingNamespaceNameWarning	"""long-term depression"" is not in the HBP namespace"
2951	34	"a(CHEBI:lipopolysaccharide) -> bp(GO:""neuroinflammatory response"")"	MissingNamespaceNameWarning	"""neuroinflammatory response"" is not in the GO namespace"
2952	30	"a(CHEBI:""amyloid-beta"") -> bp(GO:""neuroinflammatory response"")"	MissingNamespaceNameWarning	"""neuroinflammatory response"" is not in the GO namespace"
2953	23	"a(HBP:""C-30-27"") -| bp(GO:""neuroinflammatory response"")"	MissingNamespaceNameWarning	"""neuroinflammatory response"" is not in the GO namespace"
3401	21	"a(HBP:MPT0G211) -> p(HBP:""Blood-Brain Barrier"")"	MissingNamespaceNameWarning	"""Blood-Brain Barrier"" is not in the HBP namespace"
